InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Total Price
536382,22838,3 TIER CAKE TIN RED AND CREAM,2,01-12-2010 09:45,14.95,16098,United Kingdom,29.9
536382,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,01-12-2010 09:45,16.95,16098,United Kingdom,67.8
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,01-12-2010 09:49,4.65,15311,United Kingdom,-4.65
536384,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,01-12-2010 09:53,6.45,18074,United Kingdom,19.35
536384,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48,01-12-2010 09:53,0.65,18074,United Kingdom,31.2
536384,22464,HANGING METAL HEART LANTERN,12,01-12-2010 09:53,1.65,18074,United Kingdom,19.8
536384,21324,HANGING MEDINA LANTERN SMALL,6,01-12-2010 09:53,2.95,18074,United Kingdom,17.7
536384,22457,NATURAL SLATE HEART CHALKBOARD ,12,01-12-2010 09:53,2.95,18074,United Kingdom,35.4
536384,22469,HEART OF WICKER SMALL,40,01-12-2010 09:53,1.45,18074,United Kingdom,58
536384,22470,HEART OF WICKER LARGE,40,01-12-2010 09:53,2.55,18074,United Kingdom,102
536384,22224,WHITE LOVEBIRD LANTERN,6,01-12-2010 09:53,2.95,18074,United Kingdom,17.7
536384,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,01-12-2010 09:53,12.75,18074,United Kingdom,25.5
536384,22189,CREAM HEART CARD HOLDER,4,01-12-2010 09:53,3.95,18074,United Kingdom,15.8
536384,22427,ENAMEL FLOWER JUG CREAM,3,01-12-2010 09:53,5.95,18074,United Kingdom,17.85
536384,22428,ENAMEL FIRE BUCKET CREAM,6,01-12-2010 09:53,6.95,18074,United Kingdom,41.7
536384,22424,ENAMEL BREAD BIN CREAM,8,01-12-2010 09:53,10.95,18074,United Kingdom,87.6
536385,22663,JUMBO BAG DOLLY GIRL DESIGN,10,01-12-2010 09:56,1.95,17420,United Kingdom,19.5
536385,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,01-12-2010 09:56,1.25,17420,United Kingdom,15
536385,22168,ORGANISER WOOD ANTIQUE WHITE ,2,01-12-2010 09:56,8.5,17420,United Kingdom,17
536385,22662,LUNCH BAG DOLLY GIRL DESIGN,10,01-12-2010 09:56,1.65,17420,United Kingdom,16.5
536386,84880,WHITE WIRE EGG HOLDER,36,01-12-2010 09:57,4.95,16029,United Kingdom,178.2
536386,85099B,JUMBO BAG RED RETROSPOT,100,01-12-2010 09:57,1.65,16029,United Kingdom,165
536387,79321,CHILLI LIGHTS,192,01-12-2010 09:58,3.82,16029,United Kingdom,733.44
536387,22780,LIGHT GARLAND BUTTERFILES PINK,192,01-12-2010 09:58,3.37,16029,United Kingdom,647.04
536387,22779,WOODEN OWLS LIGHT GARLAND ,192,01-12-2010 09:58,3.37,16029,United Kingdom,647.04
536387,22466,FAIRY TALE COTTAGE NIGHTLIGHT,432,01-12-2010 09:58,1.45,16029,United Kingdom,626.4
536388,21363,HOME SMALL WOOD LETTERS,3,01-12-2010 09:59,4.95,16250,United Kingdom,14.85
536388,21411,GINGHAM HEART  DOORSTOP RED,3,01-12-2010 09:59,4.25,16250,United Kingdom,12.75
536388,22318,FIVE HEART HANGING DECORATION,6,01-12-2010 09:59,2.95,16250,United Kingdom,17.7
536388,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,01-12-2010 09:59,0.42,16250,United Kingdom,5.04
536388,22922,FRIDGE MAGNETS US DINER ASSORTED,12,01-12-2010 09:59,0.85,16250,United Kingdom,10.2
536388,22969,HOMEMADE JAM SCENTED CANDLES,12,01-12-2010 09:59,1.45,16250,United Kingdom,17.4
536388,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,01-12-2010 09:59,0.85,16250,United Kingdom,10.2
536388,21115,ROSE CARAVAN DOORSTOP,4,01-12-2010 09:59,6.75,16250,United Kingdom,27
536388,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,01-12-2010 09:59,1.65,16250,United Kingdom,19.8
536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,01-12-2010 10:03,8.5,12431,Australia,51
536389,21622,VINTAGE UNION JACK CUSHION COVER,8,01-12-2010 10:03,4.95,12431,Australia,39.6
536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,01-12-2010 10:03,6.35,12431,Australia,25.4
536389,85014B,RED RETROSPOT UMBRELLA,6,01-12-2010 10:03,5.95,12431,Australia,35.7
536389,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,01-12-2010 10:03,5.95,12431,Australia,17.85
536389,22193,RED DINER WALL CLOCK,2,01-12-2010 10:03,8.5,12431,Australia,17
536389,22192,BLUE DINER WALL CLOCK,2,01-12-2010 10:03,8.5,12431,Australia,17
536389,22191,IVORY DINER WALL CLOCK,2,01-12-2010 10:03,8.5,12431,Australia,17
536389,22195,LARGE HEART MEASURING SPOONS,24,01-12-2010 10:03,1.65,12431,Australia,39.6
536389,22196,SMALL HEART MEASURING SPOONS,24,01-12-2010 10:03,0.85,12431,Australia,20.4
536390,22962,JAM JAR WITH PINK LID,48,01-12-2010 10:19,0.72,17511,United Kingdom,34.56
536390,22963,JAM JAR WITH GREEN LID,48,01-12-2010 10:19,0.72,17511,United Kingdom,34.56
536390,22968,ROSE COTTAGE KEEPSAKE BOX ,8,01-12-2010 10:19,8.5,17511,United Kingdom,68
536390,84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,01-12-2010 10:19,0.64,17511,United Kingdom,92.16
536390,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,01-12-2010 10:19,2.55,17511,United Kingdom,102
536390,20668,DISCO BALL CHRISTMAS DECORATION,288,01-12-2010 10:19,0.1,17511,United Kingdom,28.8
536390,22197,SMALL POPCORN HOLDER,100,01-12-2010 10:19,0.72,17511,United Kingdom,72
536390,22198,LARGE POPCORN HOLDER ,50,01-12-2010 10:19,1.45,17511,United Kingdom,72.5
536390,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,01-12-2010 10:19,0.64,17511,United Kingdom,61.44
536390,21086,SET/6 RED SPOTTY PAPER CUPS,48,01-12-2010 10:19,0.65,17511,United Kingdom,31.2
536390,21786,POLKADOT RAIN HAT ,144,01-12-2010 10:19,0.32,17511,United Kingdom,46.08
536390,22654,DELUXE SEWING KIT ,40,01-12-2010 10:19,4.95,17511,United Kingdom,198
536390,21485,RETROSPOT HEART HOT WATER BOTTLE,24,01-12-2010 10:19,4.25,17511,United Kingdom,102
536390,84030E,ENGLISH ROSE HOT WATER BOTTLE,24,01-12-2010 10:19,3.75,17511,United Kingdom,90
536390,22174,PHOTO CUBE,48,01-12-2010 10:19,1.48,17511,United Kingdom,71.04
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,01-12-2010 10:24,1.65,17548,United Kingdom,-19.8
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,01-12-2010 10:24,0.29,17548,United Kingdom,-6.96
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,01-12-2010 10:24,0.29,17548,United Kingdom,-6.96
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,01-12-2010 10:24,0.29,17548,United Kingdom,-6.96
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,01-12-2010 10:24,3.45,17548,United Kingdom,-41.4
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,01-12-2010 10:24,1.65,17548,United Kingdom,-19.8
C536391,22553,PLASTERS IN TIN SKULLS,-24,01-12-2010 10:24,1.65,17548,United Kingdom,-39.6
536392,22150,3 STRIPEY MICE FELTCRAFT,6,01-12-2010 10:29,1.95,13705,United Kingdom,11.7
536392,22619,SET OF 6 SOLDIER SKITTLES,4,01-12-2010 10:29,3.75,13705,United Kingdom,15
536392,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,01-12-2010 10:29,1.25,13705,United Kingdom,15
536392,21889,WOODEN BOX OF DOMINOES,12,01-12-2010 10:29,1.25,13705,United Kingdom,15
536392,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,01-12-2010 10:29,165,13705,United Kingdom,165
536392,22127,PARTY CONES CARNIVAL ASSORTED,12,01-12-2010 10:29,1.25,13705,United Kingdom,15
536392,22128,PARTY CONES CANDY ASSORTED,12,01-12-2010 10:29,1.25,13705,United Kingdom,15
536392,22502,PICNIC BASKET WICKER SMALL,4,01-12-2010 10:29,5.95,13705,United Kingdom,23.8
536392,22338,STAR DECORATION PAINTED ZINC ,24,01-12-2010 10:29,0.65,13705,United Kingdom,15.6
536393,22180,RETROSPOT LAMP,8,01-12-2010 10:37,9.95,13747,United Kingdom,79.6
536394,21506,"FANCY FONT BIRTHDAY CARD, ",24,01-12-2010 10:39,0.42,13408,United Kingdom,10.08
536394,22866,HAND WARMER SCOTTY DOG DESIGN,96,01-12-2010 10:39,1.85,13408,United Kingdom,177.6
536394,22865,HAND WARMER OWL DESIGN,96,01-12-2010 10:39,1.85,13408,United Kingdom,177.6
536394,22349,DOG BOWL CHASING BALL DESIGN,12,01-12-2010 10:39,3.75,13408,United Kingdom,45
536394,22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,01-12-2010 10:39,1.25,13408,United Kingdom,60
536394,85152,HAND OVER THE CHOCOLATE   SIGN ,12,01-12-2010 10:39,2.1,13408,United Kingdom,25.2
536394,22652,TRAVEL SEWING KIT,20,01-12-2010 10:39,1.65,13408,United Kingdom,33
536395,22188,BLACK HEART CARD HOLDER,8,01-12-2010 10:47,3.95,13767,United Kingdom,31.6
536395,21314,SMALL GLASS HEART TRINKET POT,8,01-12-2010 10:47,2.1,13767,United Kingdom,16.8
536395,22730,ALARM CLOCK BAKELIKE IVORY,4,01-12-2010 10:47,3.75,13767,United Kingdom,15
536395,22729,ALARM CLOCK BAKELIKE ORANGE,8,01-12-2010 10:47,3.75,13767,United Kingdom,30
536395,22867,HAND WARMER BIRD DESIGN,48,01-12-2010 10:47,2.1,13767,United Kingdom,100.8
536396,22803,IVORY EMBROIDERED QUILT ,2,01-12-2010 10:51,35.75,17850,United Kingdom,71.5
536397,35004B,SET OF 3 BLACK FLYING DUCKS,12,01-12-2010 10:51,4.65,17924,United Kingdom,55.8
536398,21844,RED RETROSPOT MUG,6,01-12-2010 10:52,2.95,13448,United Kingdom,17.7
536398,22468,BABUSHKA LIGHTS STRING OF 10,4,01-12-2010 10:52,6.75,13448,United Kingdom,27
536398,48185,DOORMAT FAIRY CAKE,2,01-12-2010 10:52,7.95,13448,United Kingdom,15.9
536398,21232,STRAWBERRY CERAMIC TRINKET BOX,12,01-12-2010 10:52,1.25,13448,United Kingdom,15
536398,22064,PINK DOUGHNUT TRINKET POT ,12,01-12-2010 10:52,1.65,13448,United Kingdom,19.8
536398,22449,SILK PURSE BABUSHKA PINK,6,01-12-2010 10:52,3.35,13448,United Kingdom,20.1
536398,22835,HOT WATER BOTTLE I AM SO POORLY,8,01-12-2010 10:52,4.65,13448,United Kingdom,37.2
536398,22112,CHOCOLATE HOT WATER BOTTLE,9,01-12-2010 10:52,4.95,13448,United Kingdom,44.55
536398,21479,WHITE SKULL HOT WATER BOTTLE ,4,01-12-2010 10:52,3.75,13448,United Kingdom,15
536398,22111,SCOTTIE DOG HOT WATER BOTTLE,9,01-12-2010 10:52,4.95,13448,United Kingdom,44.55
536401,22110,BIRD HOUSE HOT WATER BOTTLE,1,01-12-2010 11:21,2.55,15862,United Kingdom,2.55
536401,22098,BOUDOIR SQUARE TISSUE BOX,1,01-12-2010 11:21,1.25,15862,United Kingdom,1.25
536401,22100,SKULLS SQUARE TISSUE BOX,2,01-12-2010 11:21,1.25,15862,United Kingdom,2.5
536401,22766,PHOTO FRAME CORNICE,1,01-12-2010 11:21,2.95,15862,United Kingdom,2.95
536401,22451,SILK PURSE BABUSHKA RED,1,01-12-2010 11:21,3.35,15862,United Kingdom,3.35
536401,22549,PICTURE DOMINOES,1,01-12-2010 11:21,1.45,15862,United Kingdom,1.45
536401,84744,S/6 SEW ON CROCHET FLOWERS,1,01-12-2010 11:21,1.25,15862,United Kingdom,1.25
536401,85049E,SCANDINAVIAN REDS RIBBONS,2,01-12-2010 11:21,1.25,15862,United Kingdom,2.5
536401,21328,BALLOONS  WRITING SET ,1,01-12-2010 11:21,1.65,15862,United Kingdom,1.65
536401,17091A,LAVENDER INCENSE IN TIN,1,01-12-2010 11:21,1.25,15862,United Kingdom,1.25
536401,22473,TV DINNER TRAY VINTAGE PAISLEY,1,01-12-2010 11:21,4.95,15862,United Kingdom,4.95
536401,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,2,01-12-2010 11:21,3.75,15862,United Kingdom,7.5
536401,84510A,SET OF 4 ENGLISH ROSE COASTERS,2,01-12-2010 11:21,1.25,15862,United Kingdom,2.5
536401,22767,TRIPLE PHOTO FRAME CORNICE ,2,01-12-2010 11:21,9.95,15862,United Kingdom,19.9
536401,22768,FAMILY PHOTO FRAME CORNICE,1,01-12-2010 11:21,9.95,15862,United Kingdom,9.95
536401,21463,MIRRORED DISCO BALL ,1,01-12-2010 11:21,5.95,15862,United Kingdom,5.95
536401,21464,DISCO BALL ROTATOR BATTERY OPERATED,1,01-12-2010 11:21,4.25,15862,United Kingdom,4.25
536401,20820,SILVER LOOKING MIRROR,3,01-12-2010 11:21,4.95,15862,United Kingdom,14.85
536401,85150,LADIES & GENTLEMEN METAL SIGN,1,01-12-2010 11:21,2.55,15862,United Kingdom,2.55
536401,22117,METAL SIGN HER DINNER IS SERVED ,1,01-12-2010 11:21,2.95,15862,United Kingdom,2.95
536401,48129,DOORMAT TOPIARY,1,01-12-2010 11:21,7.95,15862,United Kingdom,7.95
536401,82580,BATHROOM METAL SIGN,1,01-12-2010 11:21,0.55,15862,United Kingdom,0.55
536401,82578,KITCHEN METAL SIGN,1,01-12-2010 11:21,0.55,15862,United Kingdom,0.55
536401,82581,TOILET METAL SIGN,2,01-12-2010 11:21,0.55,15862,United Kingdom,1.1
536401,22413,METAL SIGN TAKE IT OR LEAVE IT ,4,01-12-2010 11:21,2.95,15862,United Kingdom,11.8
